"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 07 17:23:00 GMT 2025","Mon Apr 07 17:23:13 GMT 2025","12973","","com.github.kadehar.inno.tests.SampleTests","","com.github.kadehar.inno.tests.SampleTests","verifyCheckoutSumIsValid","Verify that checkout sum is valid [1] Login as standard_user",""
"passed","Mon Apr 07 17:23:05 GMT 2025","Mon Apr 07 17:23:18 GMT 2025","13195","","com.github.kadehar.inno.tests.SampleTests","","com.github.kadehar.inno.tests.SampleTests","verifyCheckoutSumIsValid","Verify that checkout sum is valid [2] Login as performance_glitch_user",""
"failed","Mon Apr 07 17:23:00 GMT 2025","Mon Apr 07 17:23:05 GMT 2025","4645","","com.github.kadehar.inno.tests.SampleTests","","com.github.kadehar.inno.tests.SampleTests","canGetEmployeesByCompanyId","Can get employees by their company id",""
